name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
pubergen hp 5000 injection,Fertigyn HP 5000 Injection,Zyhcg 5000IU Injection,Ovunal SC 5000 Injection,Ovidac 5K Injection,Ovigyn 5000IU Injection,Injection site pain,Headache,Fatigue,Depression,Irritation,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Female infertility,Treatment of Male hypogonadism,,,,Luteinizing Hormone {LH}Analog,GYNAECOLOGICAL,No
panto-dsr capsule,Pendom-OD Capsule SR,Pentaloc DSR 30mg/40mg Capsule,PP Set DSR Capsule,Pantex-D SR Capsule,Paro-DSR Capsule,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,GASTRO INTESTINAL,No
presmovac 1 tablet,Prugonist 1mg Tablet,Muvpru 1mg Tablet,Renopride 1 Tablet,Prucapla 1mg Tablet,C2Win 1mg Tablet,Headache,Nausea,Diarrhea,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Constipation,,,,,Dihydrobenzofurancarboxamide Derivative {benzamides},GASTRO INTESTINAL,No
profine sr 300 tablet,Endogest 300 SR Tablet,Miprogen 300mg Tablet SR,Seacure SR 300 Tablet,Proceive SR 300 Tablet,Strone SR 300 Tablet,Hot flushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy,Treatment of Female infertility,,,,Progesterone Derivative,GYNAECOLOGICAL,No
phexin 125mg redisyp pineapple,,,,,,Abdominal pain,Rash,Stomach pain,Nausea,Indigestion,Diarrhea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Narrow-spectrum {First generation cephalosporins},ANTI INFECTIVES,No
prelid 8mg tablet,Rednisol 8 Tablet,Predace 8mg Tablet,Sterio 8 Tablet,MP 8mg Tablet,Aldicord 8mg Tablet,Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioral changes,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Rheumatic disorder,Treatment of Systemic lupus erythematosus (SLE),Treatment of Allergic conditions,Treatment of Eye disorders,Treatment of Skin disorders,Glucocorticoids,HORMONES,No
pregalin m 150 capsule,Neugaba M 150 Capsule,Megabid 750 mcg/150 mg Capsule,Pregario-M 750mcg/150mg Capsule,Pregakon-ME 750mcg/150mg Capsule,Prejunate Plus 750mcg/150mg Capsule,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
phytoral b cream,Ketoscalp Plus Cream,Allyzole-B Cream,Ketoford Plus Cream,kitnor B Cream,Ketofine-B Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal skin infections,,,,,,DERMA,No
pulmopres tablet,,,,,,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Muscle pain,Blurred vision,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pulmonary arterial hypertension (PAH),,,,,Carboline Derivative,SEX STIMULANTS REJUVENATORS,No
pregalin sr 150 tablet,DavaIndia Pregabalin 150mg Tablet SR,Nova 150mg Tablet SR,Proage-SR Tablet,Pregarich 150 SR Tablet,Dcg Max 150mg Tablet SR,Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,Treatment of Epilepsy/Seizures,Treatment of Fibromyalgia,,,Cyclic GABA Analogues,NEURO CNS,No
pyrigesic drop,Babygesic Drops Orange,Aminol Drop,T-98 Paediatric Drops,Dolo Drops,Sumo L Drops,Indigestion,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
paradise xr 12.5 tablet,Pxr 12.5mg Tablet PR,Parona CR 12.5 Tablet,Pariwave CR 12.5 Tablet,Prozet 12.5mg Tablet PR,Paroxee CR 12.5 Tablet,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,NEURO CNS,No
pramirol 0.125 tablet,Parpex 0.125mg Tablet,Remipex 0.125mg Tablet,Pramitrem 0.125mg Tablet,Pexiol 0.125mg Tablet,Fexopram 0.125mg Tablet,Dizziness,Sleepiness,Nausea,Dryness in mouth,Fatigue,Hallucination,Constipation,Peripheral edema,,,,,,,,,,,,,,,,,,,,,,,,,, Parkinson's disease, Restless leg syndrome,,,,Benzothiazole Derivative,NEURO CNS,No
provate-d cream,Xinasone Cream,Xinasone C Cream,Xinasone HP Cream,Dexomet Cream,Emcor Cream,Dryness,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin conditions with inflammation & itching,,,,,Glucocorticoids,DERMA,No
panex-cr 25 tablet,Parona CR 25 Tablet,Pariwave-CR 25 Tablet,Psydec 25 Tablet PR,Paroxee CR 25 Tablet,Paxan 25 Tablet PR,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,NEURO CNS,No
p-lone eye drop,Predorx Eye Drop,,,,,Burning sensation,Eye irritation,Watery eyes,Blurred vision,Reduction in bone density,Upset stomach,Behavioral changes,Mood changes,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Redness and swelling in the eye,Treatment of Severe allergic reactions,Treatment of Allergic conditions,Treatment of Rheumatic disorder,Treatment of Skin disorders,Glucocorticoids,OPHTHAL OTOLOGICALS,No
protol-xl 25 tablet,Aclomet-XL 25 Tablet,Yogaprol 25 Tablet ER,Betaone-XL 25 Tablet,Metomac 25 Tablet ER,Bloxil 23.75mg Tablet ER,Fatigue,Headache,Slow heart rate,Dizziness,Nausea,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,Alcohol & phenols,CARDIAC,No
p 125 drops,Hansimol 125mg Oral Suspension,Parasyp 125 Oral Suspension,Zoxepar 125mg Oral Suspension,Paronix 125 Suspension,Ancifev 125 Oral Suspension,Indigestion,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
pentasa 1gm enema,Mesalo Foam,,,,,Rectal discomfort,Itching,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Ulcerative colitis, Crohn’s disease,,,,Aminosalicylic Acids Derivative,GASTRO INTESTINAL,No
princiclav 500 mg/125 mg tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Advent 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,ANTI INFECTIVES,No
pregalex-nt tablet,Min-NT Tablet,Neurica NT Tablet,Nervite Tablet,Nervilax NT 75mg/10mg Tablet,Pregalin NT 75mg/10mg Tablet,Constipation,Difficulty in urination,Weight gain,Sleepiness,Dizziness,Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
pegex 6mg injection,Peggrafeel 6mg Injection,Pegheal 6mg Injection,Lupifil P 6mg Injection,Pegstim Injection,Pegg Trust 6mg Injection,Bone pain,Joint pain,Headache,Nausea,Low blood platelets,Muscle pain,Back pain,Pain in extremities,Injection site pain,,,,,,,,,,,,,,,,,,,,,,,,,Prevention of Infections after chemotherapy,,,,,Granulocyte Colony-Stimulating Factor,ANTI NEOPLASTICS,No
parkinta 2mg tablet,Triexdil 2 Tablet,Texy Tablet,Triphen 2mg Tablet,Ecitane 2mg Tablet,Parkin Tablet,Dryness in mouth,Nausea,Vomiting,Constipation,Blurred vision,Dizziness,Upset stomach,Headache,Difficulty in urination,Nervousness,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Parkinson's disease,Treatment of Drug induced abnormal movements,,,,Aralkylamines Derivative,NEURO CNS,No
propynate nf lotion,Becloderm Lotion,Betapic Lotion,Beclobal 0.025% Lotion,,,Hoarseness of voice,Thrush,Pharyngitis,Abnormal taste,Nasopharyngeal irritation,Application site irritation,Application site burning,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin conditions with inflammation & itching,Treatment of Asthma,,,,"Gluco/mineralocorticoids, progestogins and derivatives",DERMA,No
pramipex er 1.5 tablet,Pexiol-ER 1.5 Tablet,Mirapex 1.5mg Tablet ER,,,,Dizziness,Sleepiness,Nausea,Dryness in mouth,Fatigue,Hallucination,Constipation,Peripheral edema,,,,,,,,,,,,,,,,,,,,,,,,,, Parkinson's disease, Restless leg syndrome,,,,Benzothiazole Derivative,NEURO CNS,No
protol  -xl 50 tablet,Cymet ER 50 Tablet,Abmetop 50 XL Tablet,Bloxil 47.5mg Tablet ER,Zenmet XL 50 Tablet,Supermet XL 50 Tablet,Fatigue,Headache,Slow heart rate,Dizziness,Nausea,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,Alcohol & phenols,CARDIAC,No
plagril 75 tablet,StayHappi Clopidogrel 75mg Tablet,Clopikind Tablet,Platloc Tablet,Clopact 75 Tablet,Clopivas 75 Tablet,Bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of heart attack and stroke,,,,,Alpha amino acid esters,BLOOD RELATED,No
pio-m 15 tablet sr,Zipio M 15mg/500mg Tablet SR,Pizorad M 15mg/500mg Tablet SR,Piokare-MSR 15mg/500mg Tablet,Glitatip M 15mg/500mg Tablet SR,Piglisil 5 15 Tablet SR,Headache,Dizziness,Hypoglycemia (low blood glucose level),Diarrhea,Nausea,Vomiting,Flatulence,Urinary tract infection,Upper respiratory tract infection,Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
puc 250mg/5ml suspension,Arden 250mg/5ml Suspension,Infemol 250mg/5ml Suspension,Chilmol 250mg/5ml Suspension,Pedmol 250mg/5ml Suspension,Unflem 250mg/5ml Suspension,Indigestion,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
planep-t 20 kit,Eptus-T 20 Kit,Dytor E 20 Combi Kit,Exenta T 20 Tablet,Eptus-T 20 Tablet,,Dehydration,Constipation,Itching,Decreased magnesium level in blood,Decreased sodium level in blood,Increased uric acid level in blood,Decreased calcium level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,, Edema,,,,,,CARDIAC,No
piokind-m 15 tablet,Glita M 15 mg/500 mg Tablet,Glito M 15 mg/500 mg Tablet,Plum MF 15 mg/500 mg Tablet,Pichromet 15mg/500mg Tablet,Bioglita M 15 mg/500 mg Tablet,Headache,Dizziness,Hypoglycemia (low blood glucose level),Diarrhea,Nausea,Vomiting,Flatulence,Urinary tract infection,Upper respiratory tract infection,Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
prulitop 2 tablet,Renopride 2 Tablet,Deconsti Tablet,C2Win 2mg Tablet,Prumed CL 2mg Tablet,Prudac 2 Tablet,Headache,Nausea,Diarrhea,Abdominal pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Constipation,,,,,Dihydrobenzofurancarboxamide Derivative {benzamides},GASTRO INTESTINAL,No
pregcert 300 sr tablet,Endogest 300 SR Tablet,Miprogen 300mg Tablet SR,Seacure SR 300 Tablet,Proceive SR 300 Tablet,Strone SR 300 Tablet,Hot flushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy,Treatment of Female infertility,,,,Progesterone Derivative,GYNAECOLOGICAL,No
powercort-s 6% ointment,Topisal-MF 6% Ointment,,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Eczema, Psoriasis,,,,,DERMA,No
preega m 75 capsule,ME-PR Capsule,Pregacip M Capsule,Gabamax 75mg Capsule,Mahagaba-M 75 Capsule,Pbren-M 75 Capsule,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,NEURO CNS,No
priorix vaccine,Tresivac Vaccine,,,,,Rash,Injection site soreness,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of Measles, Prevention of Rubella, Prevention of Mumps,,,,VACCINES,No
pruflox tablet,Prulif 600mg Tablet,Prutis 600mg Tablet,Pruli NS 600mg Tablet,Prutop 600mg Tablet,Rulizo Tablet,Allergic reaction,Abnormal liver function tests,Stomach pain,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Urinary tract infections (UTIs),,,,,Fluoroquinolone,ANTI INFECTIVES,No
podocip 200mg tablet,Gudcef 200 Tablet,Zipod 200mg Tablet,Brotacef 200mg Tablet,Oxipod 200mg Tablet,Monocef-O 200 Tablet,Rash,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Broad Spectrum (Third & fourth generation cephalosporins),ANTI INFECTIVES,No
potrate-m oral solution,Lupilyzer Oral Solution,Citalift Oral Solution Raspberry Sugar Free,Lupilyzer Oral Solution Mixed Fruit,,,Diarrhea,Nausea,Vomiting,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Kidney stone,,,,,,VITAMINS MINERALS NUTRIENTS,No
pradaxa 75mg capsule,Dabigo 75mg Capsule,Dabiten 75mg Capsule,Dabiten 75mg Capsule,Dabitra 75mg Capsule,Dabipack 75 Capsule,Nausea,Anemia (low number of red blood cells),Gastrointestinal bleeding,Dyspepsia,Diarrhea,Abdominal pain,Nosebleeds,Skin bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Blood clots,,,,,Benzimidazole derivative,CARDIAC,No
persol plus gel,Pernex-Plus Gel,Adapure Gel,Proxaid Gel,Abzit Gel,Acrobenz A Gel,Erythema (skin redness),Burning sensation,Scaling,Stinging sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,,DERMA,No
penegra xpress 25mg tablet,Silagra 25 Tablet,Optithik 25mg Tablet,Shefill Tablet,Ethic 25mg Tablet,Endowal-S Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,SEX STIMULANTS REJUVENATORS,No
prazopill xl 2.5 tablet,Prazolin 2.5 Tablet SR,Prazolix 2.5mg Tablet SR,Prazoset-XL 2.5 Tablet,Prazomax 2.5mg Tablet SR,,Dizziness,Headache,Drowsiness,Weakness,Low energy,Palpitations,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Heart failure,,,,Piperazine Derivative,CARDIAC,No
puc 650 tablet,Alice 650mg Tablet,Cofamol 650mg Tablet,Algina 650 Tablet,Paracip 650 Tablet,Dolo 650 Tablet,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
prelica gel,Gabasun Gel,Gabaquil Gel,Sentidor Gel,Gaba Gel,Starwalk Gel,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Neuropathic pain,,,,,,NEURO CNS,No
pulmonext 10 tablet,Zambri 10mg Tablet,Endobloc 10 Tablet,,,,Sinus inflammation,Nasal congestion (stuffy nose),Peripheral edema,"Flushing (sense of warmth in the face, ears, neck and trunk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pulmonary arterial hypertension (PAH),,,,,Diphenylmethanes Derivative,CARDIAC,No
predace 8mg tablet,Rednisol 8 Tablet,Prelid 8mg Tablet,Sterio 8 Tablet,MP 8mg Tablet,Aldicord 8mg Tablet,Thinning of skin,Increased risk of infection,Reduction in bone density,Weight gain,Mood changes,Upset stomach,Behavioral changes,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Rheumatic disorder,Treatment of Systemic lupus erythematosus (SLE),Treatment of Allergic conditions,Treatment of Eye disorders,Treatment of Skin disorders,Glucocorticoids,HORMONES,No
pioglit 7.5 tablet,Genericart Pioglitazone 7.5mg Tablet,Piopar 7.5 Tablet,Pionorm 7.5mg Tablet,Pioglaz 7.5mg Tablet,Piohope 7.5 Tablet,Hypoglycemia (low blood glucose level),Edema (swelling),Upper respiratory tract infection,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Thiazolidinedione Derivative,ANTI DIABETIC,No
patinex 25mg tablet,Serotin 25mg Tablet,Parol 25mg Tablet,Leparox 25mg Tablet,Sarolife 25mg Tablet,XL Paro 25mg Tablet,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,NEURO CNS,No
pioglar-g tablet,G Tase G 15 mg/2 mg Tablet,Adride P 15mg/2mg Tablet,Glimtaz Tablet,Glimiprex PG 15mg/2mg Tablet,Pionorm G 15mg/2mg Tablet,Edema (swelling),Cold symptoms,Headache,Urinary tract infection,Diarrhea,Nausea,Leg pain,"Decreased blood cells (red cells, white cells, and platelets)",Infection,Accidental injury,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
panstal plus 10000 capsule dr,Enzelo 10000 Capsule DR,Agna 10000 Capsule DR,,,,Stomach pain,Bloating,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pancreatic enzyme deficiency,,,,,Peptides,GASTRO INTESTINAL,No
pynomax - od tablet sr,Melano-TX OD Tablet SR,Traxido 500mg Tablet SR,Texlite SR 500mg Tablet,Tyrodin -FSR Tablet,Melano-TX OD Tablet SR,"Musculoskeletal (bone, muscle or joint) pain",Joint pain,Headache,Back pain,Vomiting,Nausea,Abdominal pain,Fatigue,Diarrhea,Hypotension (low blood pressure),Sinus disorder,Nasal discomfort,Muscle cramp,Migraine,Anemia (low number of red blood cells),Allergic dermatitis,Lightheadedness,Thromboembolism,,,,,,,,,,,,,,,,Treatment of Bleeding,,,,,"Amino Acids, Peptides Analogues",BLOOD RELATED,No
pioglar 15 tablet,Piosys 15 Tablet,Pioshine 15mg Tablet,Piotaz 15mg Tablet,Pioride 15mg Tablet,Pionorm 15 Tablet,Hypoglycemia (low blood glucose level),Edema (swelling),Upper respiratory tract infection,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Thiazolidinedione Derivative,ANTI DIABETIC,No
pregadoc 75 capsule,Nova 75 Capsule,Pregabel 75 Capsule,Prosovit 75 Capsule,Pregalyv 75mg Capsule,Pregiva 75 Capsule,Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,Treatment of Epilepsy/Seizures,Treatment of Fibromyalgia,,,Cyclic GABA Analogues,NEURO CNS,No
prasuvas 10 tablet,Prasuvix 10mg Tablet,Prasurel 10mg Tablet,Prasusafe 10 Tablet,Efiplat 10 Tablet,Praso 10mg Tablet,Bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevention of Heart attack,Prevention of Stroke,,,,Piperazine derivative,BLOOD RELATED,No
patroxta 12.5 tablet pr,Pxr 12.5mg Tablet PR,Parona CR 12.5 Tablet,Pariwave CR 12.5 Tablet,Prozet 12.5mg Tablet PR,Paroxee CR 12.5 Tablet,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,NEURO CNS,No
prandial 0.3 md tablet,Starvog 0.3 Tablet MD,Megavog 0.3 Tablet MD,Voglibite 0.3 Tablet MD,Voglinita 0.3mg Tablet MD,Voglitab MD 0.3 Tablet,Skin rash,Flatulence,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Valiolamine derivative,ANTI DIABETIC,No
palido-od 3 tablet er,Palicalm 3mg Tablet ER,Paliris 3 Tablet ER,Peridol-OD 3 Tablet,Palip XR 3 Tablet,,Abnormal involuntary movements,Dizziness,Nystagmus (involuntary eye movement),Sleepiness,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia, Mania,,,,Benzisoxazole Derivative,NEURO CNS,No
pancrehenz 10000 capsule,,,,,,Stomach pain,Bloating,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pancreatic enzyme deficiency,,,,,Peptides,GASTRO INTESTINAL,No
pilot m 10mg/120mg tablet,Emlukast-FX Tablet,LCFEX-Mont Tablet,Fixar 10mg/120mg Tablet,Histakind-M Tablet,Histafree-M Tablet,Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,RESPIRATORY,No
pramirol sr 0.52 tablet,,,,,,Dizziness,Sleepiness,Nausea,Dryness in mouth,Fatigue,Hallucination,Constipation,Peripheral edema,,,,,,,,,,,,,,,,,,,,,,,,,, Parkinson's disease, Restless leg syndrome,,,,Benzothiazole Derivative,NEURO CNS,No
podxetil cv 200mg/125mg tablet,Podocidal CV 200mg/125mg Tablet,Gudcef-CV 200 Tablet,Cefoprox CV 325 Tablet,Zipod CV 200mg/125mg Tablet,Microcef-CV 200 Tablet,Nausea,Diarrhea,Stomach pain,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Respiratory tract infection,,,,,,ANTI INFECTIVES,No
puregraf 150iu hp injection,Ghm 150IU Injection,Reprogon 150IU Injection,Ivf M  150IU Injection,Gynogen 150IU Injection,Persinal 150IU Injection,Headache,Injection site pain,Injection site allergic reaction,Abdominal pain,Abdominal cramp,Nausea,Ovarian hyperstimulation syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,, Female infertility, Male hypogonadism, Male infertility,,,Hormones,GYNAECOLOGICAL,No
pantin rd 10mg/20mg tablet,Pentoza D 10mg/20mg Tablet,Panplus D20 Tablet,Pentaloc D 10mg/20mg Tablet,Pancare D 10mg/20mg Tablet,Pentate-D Tablet,Diarrhea,Stomach pain,Flatulence,Dryness in mouth,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,,GASTRO INTESTINAL,No
pregabid 150 capsule,Preglobin 150mg Capsule,Nuramed 150mg Capsule,Pregabanyl 150 Capsule,Recobal 150mg Capsule,Pregabin 150mg Capsule,Blurred vision,Difficulty in paying attention,Dizziness,Dryness in mouth,Edema (swelling),Sleepiness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,Treatment of Epilepsy/Seizures,Treatment of Fibromyalgia,,,Cyclic GABA Analogues,NEURO CNS,No
prandial 0.2 md tablet,Megavog 0.2 Tablet MD,Starvog 0.2 Tablet MD,Volitaz 0.2mg Tablet MD,Volpha 0.2mg Tablet MD,Voglimend 0.2 Tablet MD,Skin rash,Flatulence,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Valiolamine derivative,ANTI DIABETIC,No
pinom ct 40 tablet,Olmetime-CT 40 Tablet,Olmat 40 CT Tablet,Olmetrack CT 40/12.5 Tablet,Olmark CT 40 Tablet,Olsar CH 40mg/12.5mg Tablet,Nausea,Taste change,Diarrhea,Upset stomach,Weakness,Headache,Dizziness,Increased blood uric acid,Increased blood lipid level,Electrolyte imbalance,Glucose intolerance,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,CARDIAC,No
paxotus 12.5mg tablet,Leparox 12.5mg Tablet,XL Paro 12.5mg Tablet,Sarolife 12.5mg Tablet,Onbixin 12.5mg Tablet,Sigpar 12.5mg Tablet,Nausea,Fatigue,Dryness in mouth,Loss of appetite,Increased sweating,Dizziness,Nervousness,Tremors,Low sexual desire,Insomnia (difficulty in sleeping),Confusion,Constipation,Erectile dysfunction,Delayed ejaculation,Decreased libido,,,,,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Anxiety disorder,,,Phenylpiperidine Derivative,NEURO CNS,No
