medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
moximax d eye drop,moximax d eye drop,moxiblu-d eye drop,centaflox dx eye drop,dexcin-m eye drop,moxitak d eye drop,occucom eye drop,moxiblu-d ojo gota,centaflox dx eye drop,dexcin-m gota de ojos,moxitak d eye drop,occucom ojo caida
maxtra cold plus tablet,maxtra cold plus tableta,coldbip-plus tablet,surgicold-dp tablet,coldfens-complete tablet,cutcold tablet,urdef tablet,tableta fria-plus,tableta surgicold-dp,tableta de combustion fria,tableta cortada,tableta urdef
macsart cc  tablet,macsart cc tablet,temsi-cl plus tablet,telmikind trio 40mg/10mg/12.5mg tablet,cilnep-trio tablet,cilaht trio 40mg/10mg/12.5mg tablet,cilabest 3d tablet,temsi-cl plus tablet,telmikind trio 40mg/10mg/12.5mg tableta,tableta cilnep-trio,cilaht trio 40mg/10mg/12.5mg tableta,cilabest 3d tableta
moxclav 375 tablet,moxclav 375 tableta,moxiforce-cv 375 tablet,moxikind-cv 375 tablet,flemiclav 375 tablet,erox cv 250mg/125mg tablet,mega-cv 375 tablet,moxiforce-cv 375 tableta,moxikind-cv 375 tableta,tableta flemiclav 375,erox cv 250mg/125mg tableta,mega-cv 375 tableta
mefast 100 suspension,mefast 100 suspension,mefacid oral suspension,mefzan 100mg oral suspension,mefsan 100mg oral suspension,abmef 100mg oral suspension,mefmol 100mg oral suspension,suspension oral mefacid,mefzan 100mg suspension oral,mefsan 100mg suspension oral,suspension oral de 100mg 100mg,mefmol 100mg suspension oral
mazetol 100 tablet,mazetol 100 tableta,antilep 100mg tablet,mezocar la 100mg tablet,zigma 100mg tablet,mezaril kid 100mg tablet,carbazep 100mg tablet,tableta antilep 100mg,mezocar la 100mg tableta,zigma 100mg tableta,mezaril kid 100mg tableta,tableta carbazep 100mg
moximac tablet,tableta moximac,mahaflox 400 tablet,moxipunch 400mg tablet,moxigood tablet,m-cin tablet,moxam 400 tablet,mahaflox 400 tableta,moxipunch 400mg tableta,tableta moxigood,tableta m-cin,tableta moxam 400
mahacef dry syrup,mahacef jarabe seco,fixiriv dry syrup,cefport dry syrup,damfix dry syrup,eldoxime dry syrup,theoxime 50mg oral suspension,jarabe seco de fixiriv,jarabe seco de cefport,jarabe seco de damfix,jarabe seco de eldoxime,theoxime 50 mg de suspension oral
metzok 50 tablet pr,metzok 50 tableta pr,metozaar xl 50 tablet,evimeto 50 tablet pr,metol xl 50 tablet,evimeto 50 tablet pr,holymet-xl 50 tablet,metozaar xl 50 tableta,evimeto 50 tableta pr,metol xl 50 tableta,evimeto 50 tableta pr,tableta holymet-xl 50
mesacol 800 tablet dr,mesacol 800 tableta dr,mesalov 800 tablet dr,meslataj dr 800mg tablet,5 aga 800mg tablet dr,mesader 800mg tablet dr,,mesalov 800 tableta dr,meslataj dr 800mg tableta,5 aga 800mg tableta dr,mesader 800mg tableta dr,
mox drops redimix,mox gots redimix,novamox 100 rediuse drop,novamox paediatric drops,,,,novamox 100 rediuse drop,gotas pediatricas de novamox,,,
metadec 25 injection,inyeccion de metadec 25,ndr 25mg injection,velbol 25mg injection,martilone 25mg injection,sensinorm 25mg injection,novodec injection,inyeccion de 25 mg de ndr,velbol 25mg inyeccion,inyeccion de 25 mg de martilone,sensinorma de 25 mg de inyeccion,inyeccion novodec
melanocyl solution,solucion melanocil,salen solution,octamop topical lotion,,,,solucion salen,locion topica de octamop,,,
minirin 0.2mg tablet,minirin 0.2mg tableta,adiuretin 0.2mg tablet,d void tablet,,,,adiuretina 0.2mg tableta,d void tablet,,,
macralfate-o suspension sugar free,macralfate-o suspension azu azucar,nufate o 500mg/10mg suspension,gfil o suspension,,,,nufate o 500mg/10 mg de suspension,gfil o suspension,,,
mikacin 100mg injection,inyeccion de 100 mg de mikacin,mkcin 100mg injection,amcin 100mg injection,amikanex 100mg injection,mbkacin 100mg injection,megamika 100mg injection,inyeccion de 100 mg de mkcin,inyeccion de 100 mg de amcina,inyeccion de 100 mg de amikanex,inyeccion de 100 mg de mbkacina,inyeccion de 100 mg de megamika
mucinac 200 effervescent tablet sugar free,mucinac 200 efervescent tableta sin azucar,,,,,,,,,,
mahacef-xl 200 new tablet,mahacef-xl 200 nueva tableta,soincef-d tablet er,cefscan-xl tablet,aelxim-xl 200mg/500mg tablet,cafidol dx 200mg/500mg tablet er,xibit o dx 200mg/500mg tablet er,soincf-d tableta er,tableta cefscan-xl,tableta aelixm-xl 200mg/500mg,cafidol dx 200mg/500mg tableta er,xibit o dx 200mg/500mg tableta er
metasone plus cream,metasone plus cream,ultrabrite cream,skinshine cream,elosone-ht cream,skinshine cream,twinkle cream,crema ultrabrita,crema de skinshine,crema elosone-ht,crema de skinshine,crema twinkle
melapik  ever new cream,melapik siempre nueva crema,twilite cream,,,,,crema twilite,,,,
morr 7.5% solution,solucion morr 7.5%,,,,,,,,,,
metrogyl compound plus  tablet,compuesto metrogil mas tableta,entrogyl-oz tablet,,,,,tableta controgil-oz,,,,
metgem 500 tablet er,metgem 500 tableta er,diafer 500mg tablet er,ozomet 500 tablet er,ozomet 500 tablet er,met-sr 500 tablet,merit 500mg tablet er,diafer de 500 mg de tableta er,ozomet 500 tableta er,ozomet 500 tableta er,met-sr 500 tableta,merito 500 mg de tableta er
mahacef oz new tablet,mahacef oz nueva tableta,horn o 200mg/500mg tablet,orni-o tablet,oflotas-oz tablet,zorno tablet,ornof tablet,horna o 200 mg/500 mg de tableta,tableta orni-o,tableta oflotas-oz,tableta zorno,tableta de ornof
magadol 50mg/325mg tablet,magadol 50mg/325mg tableta,diclowin plus tablet,dolojust 50mg/325mg tablet,reactin plus tablet,fenak plus tablet,pofinac 50 mg/325 mg tablet,diclowin plus tableta,dolojust 50mg/325mg tableta,reactin mas tableta,tableta fenak plus,pofinac 50 mg/325 mg de tableta
mucotab et tablet orange sugar free,mucotab et tableta de azucar de naranja,fizonac 600 effervescent tablet orange,quicnac 600 effervescent tablet orange sugar free,mucomix -et effervescent tablet orange sugar free,flemonac 600mg effervescent tablet,coenac 600mg effervescent tablet,fizonac 600 tableta efervescente naranja,quicnac 600 tableta efervescente naranja sin azucar,mucomix -et tableta efervescente naranja azucar sin,flemonac 600mg tableta efervescente,coenac 600mg tableta efervescente
mendate 10 tablet cr,reparar 10 tableta cr,cycloreg cr 10 tablet,sysron-ncr tablet,nortas cr tablet,norgyn-ncr 10mg tablet,suon 10mg tablet cr,cycloreg cr 10 tableta,tableta sysron-ncr,tableta nortas cr,norgyn-ncr 10mg tableta,suon 10mg tableta cr
megatas 50 tablet er,megatas 50 tableta er,miratas 50 tablet er,miranix 50 tablet er,blador 50mg tablet er,vesibeta 50 tablet er,avomira 50mg tablet er,miratas 50 tableta er,miranix 50 tableta er,blador 50mg tableta er,vesibeta 50 tableta er,avomira 50mg tableta er
metolar am  50 tablet,metolar am 50 tableta,metolash am 5mg/50mg tablet,cymet plus 5 mg/50 mg tablet,metopole-am 5mg/50mg tablet,metosis am 5mg/50mg tablet,metonce-am 50/5 tablet,metolash am 5mg/50mg tableta,cymet mas 5 mg/50 mg de tableta,metopole-am 5mg/50mg tableta,metosis am 5mg/50mg tableta,metonce-am 50/5 tableta
macsart ch 40 tablet,macsart ch 40 tablet,newtel-ch 40 tablet,telmikind-ct 40 tablet,telvas-ct 40 tablet,arbitel-ct 40 tablet,temsan-ct 40 tablet,tableta newtel-ch 40,telmikind-ct 40 tableta,telvas-ct 40 tableta,arbitel-ct 40 tableta,temsan-ct 40 tableta
megahenz 160mg tablet,megahenz 160mg tableta,cravihenz tablet,megesta 160 tablet,sargest 160mg tablet,megacet 160mg tablet,megetra 160mg tablet,tableta cravihenz,megesta 160 tableta,tableta sargest de 160 mg,megacet 160 mg de tableta,megetra 160mg tablet
malidens 650 tablet,malidens 650 tableta,alice 650mg tablet,flumol 650mg tablet,p mol 650mg tablet,extramol 650mg tablet,paracip 650 tablet,alice 650mg tableta,tableta flumol 650mg,p mol 650mg tableta,extramol 650mg tableta,paracip 650 tableta
mactor f tablet,mactor f tableta,ozovas-f  tablet,orvas-ft tablet,lipikind-f tablet,zivast-f tablet,atchol-f tablet,tableta ozovas-f,tableta orvas-ft,tableta lipikind-f,tableta zivast-f,tableta atchol-f
mirabet 25 tablet er,mirabet 25 tableta er,mirajet 25mg tablet er,miratas 25 tablet er,blador 25mg tablet er,mirago 25 tablet er,mirabig 25mg tablet er,mirajet 25mg tableta er,miratas 25 tableta er,blador 25mg tableta er,mirago 25 tableta er,mirabig 25mg tableta er
metride 2 tablet pr,metride 2 tableta pr,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,geminor m 2 tablet pr,exermet gm 502 tablet pr,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,geminor m 2 tableta pr,exermet gm 502 tableta pr
migarid 10 tablet,migarida 10 tableta,fluzine 10mg tablet,mnil 10mg tablet,grenil-f 10 tablet,fine 10mg tablet,luna 10mg tablet,tableta de 10mg de fluzina,mnil 10mg tableta,grenil-f 10 tableta,bien de 10 mg de tableta,tableta luna 10mg
megagliptin tablet,tableta de megagliptina,ecoglip-t tablet,dynaglipt tablet,tenlimac tablet,glipon 20mg tablet,tenali tablet,tableta ecoglip-t,tableta dynaglipt,tableta tenlimac,tableta glipon 20mg,tableta tenali
marzon tablet,tableta marzon,sultaluk 375mg tablet,sulact 375mg tablet,sultascan 375mg tablet,toslin 375mg tablet,oxitum 375mg tablet,sultaluk 375mg tableta,sulacto 375mg tableta,sultascan 375mg tableta,toslin 375mg tableta,oxitum 375mg tableta
macitent 10mg tablet,macitent 10mg tableta,macirol 10mg tablet,macikad 10mg tablet,opsutan tablet,,,macirol 10mg tableta,macikad 10mg tableta,tableta opsutana,,
mfsudif cream,crema mfsudif,etaze-id cream,esm f cream,ezimet-f cream,momisoft-f cream,momeroid f cream,crema etaze-id,esm f cream,crema ezimet-f,crema momisoft-f,crema de momeroid f
matiz sr capsule,capsula de matiz sr,normaxin-mb capsule sr,trumeb 200mg capsule sr,colovary 200mg capsule sr,cizaspa-sr capsule,meb sr capsule,capsula de normaxina-mb sr,trumeb 200mg capsula sr,capsula colovary 200 mg sr,capsula de cizaspa-sr,capsula de meb sr
mahaflox eye ointment,pomada de ojo mahaflox,occumox eye ointment,mosi eye ointment,emfozen 0.5% eye ointment,mo 4 eye ointment,moxitak eye ointment,occumox ojo unguento,mosi ojo unguento,emfozen 0.5% onigacion eye,mo 4 ojo de ojo,pomada de ojos de moxitak
metsmall 1000 tablet sr,metsmall 1000 tableta sr,endoformin 1000mg tablet sr,abomet 1000mg tablet sr,bigomet -sr 1000 tablet,forson 1000mg tablet sr,walaphage -sr 1000 tablet,endoformina 1000 mg de tableta sr,abomet 1000mg tableta sr,bigomet -sr 1000 tableta,forson 1000mg tableta sr,walaphage -sr 1000 tableta
mirabig 50mg tablet er,mirabig 50mg tableta er,miratas 50 tablet er,miranix 50 tablet er,blador 50mg tablet er,vesibeta 50 tablet er,avomira 50mg tablet er,miratas 50 tableta er,miranix 50 tableta er,blador 50mg tableta er,vesibeta 50 tableta er,avomira 50mg tableta er
mega-cv drops,mega-cv gotas,clavucillin nano drop,moxikind-cv drops,moxclav paediatric drops,bactoclav drops,clavam paediatric oral suspension,clavucillin nano gota,moxikind-cv gotas,gotas pediatricas moxclavas,gotas bactoclavas,suspension oral pediatrica de clavam
myotan 40 tablet,myotan 40 tableta,azilura 40 tablet,zilarta 40 tablet,nexsart 40 tablet,azildac 40 tablet,altoran 40 tablet,azilura 40 tableta,zilarta 40 tableta,nexsart 40 tableta,azildac 40 tableta,altoran 40 tableta
metolar tl 25 tablet,metolar tl 25 tableta,telkonol m 40mg/25mg tablet,temmy m 40mg/25mg tablet,timsart m 40mg/25mg tablet,telmirna beta 40mg/25mg tablet,teltech beta 40mg/25mg tablet,telkonol m 40mg/25mg tableta,temmy m 40mg/25mg tableta,timsart m 40mg/25mg tableta,telmirna beta 40mg/25mg tableta,teltech beta 40mg/25mg tableta
montemac-fx suspension,suspension de montemac-fx,,,,,,,,,,
minotress lotion,locion mintress,hairex lotion,aga lotion,arodil forte lotion,topinex 5% lotion,foligro lotion,locion hairex,locion aga,locion forte arodil,topinex 5% locion,locion foligro
microcid-sr capsule,capsula de microcidram,donica-sr capsule,indocox 75mg capsule er,indomax-sr capsule,indolous 75 capsule er,indocrom-tr capsule,capsula de donica-sr,indocox 75mg capsula er,capsula de indomax-sr,75 capsula de 75,capsula inutil
minoqilib 5% solution,minoqilib 5% de solucion,tinfal solution,minoxy 5% solution,rootz-m5 solution,mnx 5 solution,imxia 5 solution,solucion de tinfal,solucion de minoxi 5%,solucion rootz-m5,solucion mnx 5,solucion imxia 5
methimez 5 tablet,methimez 5 tableta,methimercazole 5 tablet,,,,,metimercazol 5 tableta,,,,
macphylline capsule,capsula macphylline,broncofil 100mg capsule,axeldox 100 capsule,ambrodil-xp capsule,oxybro 100 capsule,abby 100mg capsule,capsula de 100 mg de broncofil,capsula de axeldox 100,capsula de ambrodil-xp,oxybro 100 capsula,capsula de 100 mg de abby
myospas th 4 capsule,myospas th 4 capsula,d pain tc 4mg/50mg capsule,mahagesic-mr 4 capsule,oxalgin mr capsule,thiofenac 4 mg/50 mg capsule,tdp 4mg/50mg capsule,d pain tc 4mg/50mg capsula,capsula de mahagesico-mr 4,capsula de mr oxalgin,tiofenac 4 mg/50 mg capsula,tdp 4mg/50mg capsula
macpod 100-dt tablet,tableta macpod de 100 dt,genopod 100mg tablet dt,xop 100mg tablet dt,uva cef 100mg tablet dt,zipod 100mg tablet dt,finecef 100mg tablet dt,genopod 100mg tableta dt,xop 100mg tableta dt,uva cef 100mg tablet dt,tableta de 100 mg de zipod dt,finecef 100mg tableta dt
micronac pf eye drop,micronac pf gota de ojos,retinep eye drop,nepacin eye drop,esnac eye drop,nepastar eye drop,nepcinac eye drop,retinep eye drop,gota de ojos de nepacina,gota de ojos de esnac,gota de ojos de nepastar,gota de ojos de nepcinac
mycofit 500 tablet,mycofit 500 tableta,cellmune 500mg tablet,seromune 500 tablet,mycept 500 tablet,mofetyl 500 tablet,cellcept 500mg tablet,cellmune 500mg tableta,tableta seromune 500,mycept 500 tableta,mofetyl 500 tableta,tableta de 500 mg de celda
mahaflox kt eye drop,mahaflox kt gota de ojos,kerosite mx eye drop,moses kt eye drop,pariflam kt eye drop,4 quin kt eye drop,moxibust kt eye drop,kerositice mx ojo caida,moses kt gota de ojos,pariflam kt gota de ojos,4 quin kt gota de ojos,gota de ojos moxibust kt
menopur injection,inyeccion de menopur,ovulate-m 75iu injection,menovul 75iu injection,hmg sp 75iu injection,menosar hp 75iu injection,menogon injection,inyeccion ovulada-m 75iu,inyeccion de menovul 75iu,inyeccion hmg sp 75iu,inyeccion de menosar hp 75iu,inyeccion de menogon
mega-cv 375 tablet,mega-cv 375 tableta,moxiforce-cv 375 tablet,moxikind-cv 375 tablet,flemiclav 375 tablet,erox cv 250mg/125mg tablet,hhamclav 375 tablet,moxiforce-cv 375 tableta,moxikind-cv 375 tableta,tableta flemiclav 375,erox cv 250mg/125mg tableta,tableta hhamclav 375
me-pxl tablet,tableta me-pxl,maxgalin m er 75 tablet,,,,,maxgalin m er 75 tableta,,,,
myospaz d tablet,myospaz d tableta,xaldinac tablet,vovedic-mr tablet,dfo mr tablet,renew mr 50mg/400mg tablet,jacmod d 50mg/400mg tablet,tableta xaldinac,tableta vovedic-mr,dfo mr tablet,renovar mr 50mg/400mg tableta,jacmod d 50mg/400mg tableta
monotrate sr 30 tablet,monotrato sr 30 tableta,genericart isosorbide mononitrate  30mg tablet pr,isodit 30 sr tablet,nitrofix sr 30 tablet,imdur 30mg tablet pr,,genicart isosorbide mononitrate 30mg tableta pr,isodit 30 sr tableta,nitrofix sr 30 tableta,imdur 30mg tableta pr,
macsart beta 50 tablet er,macsart beta 50 tablet er,telmikind beta 50 tablet er,telvas beta 50 tablet er,thanktel beta 40mg/50mg tablet er,arbitel-mt 50 tablet er,tel-revelol 40/50 tablet er,telmikind beta 50 tableta er,telvas beta 50 tableta er,thanktel beta 40mg/50mg tableta er,arbitel-mt 50 tableta er,tel-revelol 40/50 tableta er
mefkind-spas tablet,tableta mefkind-spas,spasmonil plus tablet,spastone tablet,anglospas forte 10 mg/250 mg tablet,mefnic 10mg/250mg tablet,almefkem spas 10mg/250mg tablet,spasmonil mas tableta,tableta spastone,anglosespas forte 10 mg/250 mg de tableta,mefnic 10mg/250mg tableta,almefkem spas 10mg/250mg tableta
mirena intrauterine delivery system,sistema de entrega intrauterina de mirena,levodiva device,,,,,dispositivo levodiva,,,,
metolar tl 50 tablet,metolar tl 50 tableta,,,,,,,,,,
myhep all tablet,myhep toda tableta,velpanat tablet,resof total 400mg/100mg tablet,hepcvel tablet,hepcitaj-sv 400mg/100mg tablet,sovihep v tablet,tableta velpanat,volver a hacer una tableta total de 400 mg/100mg,tableta hepcvel,hepcitaj-sv 400mg/100mg tableta,sovihep v tableta
moza mps chewable tablet,moza mps cayable tableta,,,,,,,,,,
myo pyrolate injection,inyeccion de myo pirolato,stimin g 0.5 mg/2.5 mg injection,pyrotroy neo injection,varcolate-neo injection,glycopyrolate and neostigmin 0.5 mg/2.5 mg injection,,estimina g 0.5 mg/2.5 mg inyeccion,inyeccion de pyrotroy neo,inyeccion de varcolate-neo,glicopirolate y neostigmina 0.5 mg/2.5 mg inyeccion,
me-pr capsule,capsula de me-pr,pregacip m capsule,gabamax 75mg capsule,mahagaba-m 75 capsule,pbren-m 75 capsule,revlin m capsule,capsula de pregacip m,capsula de 75 mg de gabamax,mahagaba-m 75 capsula,capsula pbren-m 75,capsula de revlin m
megatin dc capsule,capsula de megatina dc,ampoxid 250 mg/250 mg capsule,versatillin dc 250 mg/250 mg capsule,baxin d 250 mg/250 mg capsule,rampiclix 250mg/250mg capsule,broadiclox novo 500 mg capsule,ampoxid 250 mg/250 mg capsula,versatilina dc 250 mg/250 mg capsula,baxin d 250 mg/250 mg capsula,rampiclix 250mg/250mg capsula,broadiclox novo 500 mg capsula
montemac 10 tablet,montemac 10 tableta,solukast 10mg tablet,ebmont 10mg tablet,symkast 10mg tablet,symkast dx 10mg tablet,acemont tablet,solukast 10mg tableta,tableta ebmont 10mg,symkast 10mg tableta,symkast dx 10mg tableta,tableta de acemont
macgest sr 200 tablet,macest sr 200 tableta,endogest 200 sr tablet,proshi 200mg tablet sr,prolutax 200mg tablet sr,strone sr 200 tablet,gestofit 200mg sr tablet,endogest 200 sr tableta,proshi 200mg tableta sr,pableta prolutax 200mg sr,strone sr 200 tableta,gestofit 200mg sr tableta
milflox plus 0.4 sterlie eye drops,milflox mas 0.4 gotas de los ojos de sterlie,kitmox-ktl ophthalmic solution,moxidrop-kt eye drop,moxzap kt eye drop bak free,topomox-kt eye drop preservative free,moxi 4g kt eye drop,solucion oftalmica kitmox-ktl,gota de ojos moxidrop-kt,moxzap kt ojo gota bak gratis,topomox-kt caida de ojo conservador gratis,moxi 4g kt gota de ojos
magneon 50% injection,inyeccion de magneon 50%,magnesium sulphate 50%  injection,troymag 50% injection,,,,sulfato de magnesio 50% de inyeccion,troymag 50% inyeccion,,,
macgest 200 capsule,capsula de 200 mac mas,uterone 200 soft gelatin capsule,nidagen 200 soft gelatin capsule,endogest 200 capsule,c-hop 200mg soft gelatin capsule,naturogest 200mg soft gelatin capsule,uterone 200 capsula de gelatina suave,capsula de gelatina blando nidagen 200,capsula endogest 200,capsula de gelatina suave de 200mg c-hop,capsula de gelatina suave de 200 mg de 200 mg
mtnl tablet,tableta mtnl,montina-l tablet,solitair tablet,lecope-m tablet,monticope tablet,levocet m tablet,tableta montina-l,tableta de solitario,tableta lecope-m,tableta monticope,levocet m tableta
moxiblu eye drop,gota de ojos moxiblu,moxiford eye drop,imf eye drop,mosi eye drop,occumox eye drop,moxifax eye drop,gota de ojos de moxiford,drop de los ojos del fmi,gota de ojos mosi,caida del ojo occumox,gota de ojos moxifax
mycept 250 capsule,mycept 250 capsula,cellcept 250mg capsule,keycept 250mg capsule,renodapt 250 capsule,stricept 250mg capsule,,capsula de 250 mg de celda,capsula de 250 mg de keycept,capsula renodapt 250,capsula de 250 mg,
malirid 7.5mg tablet,malirid 7.5mg tableta,primal 7.5mg tablet,primax 7.5mg tablet,leoprime kid 7.5mg tablet,leoprime 7.5mg tablet,primalex 7.5mg tablet,tableta primaria de 7.5mg,tableta primax 7.5mg,leoprime kid 7.5mg tableta,leoprime 7.5mg tableta,primalex 7.5mg tableta
myestin 60mg tablet,tableta myestin 60mg,mygris 60mg tablet,mustone  60mg tablet,distinon tablet,pyrido 60mg tablet,pyristig 60mg tablet,mygris 60mg tableta,muart 60 mg de tableta,tableta distinon,phyrido 60mg tableta,pyristig 60mg tableta
